cleand_text,amazon_transcribe,azure,azure_whisper,mms,seamless,V1_latest_short,V2_short,V2_chirp,V2_chirp_2,whisper_base,whisper_medium,whisper_turbo,리턴제로(vito),한국전자통신연구원(etri)
감기에 걸렸는지 목이 아파요.,감기에 걸렸는지 목이 아파요.,감기에 걸렸는지 목이 아파요.,감기에 걸렸는지 목이 아파요.,감기의 걸련는지 목이 앞아여,감기에 걸렸는지 목이 아파요,감기에 걸렸는지 목이 아파요.,감기에 걸렸는지 목이 아파요., 감기에 걸렸는지 목이 아파요.,감기에 걸렸는지 목이 아파요., 감기에 걸렸는지 목이 아파요, 감기에 걸렸는지 목이 아파요., 감기에 걸렸는지 목이 아파요.,감기에 걸렸는지 목이 아파요?,감기에 걸렸는지 목이 아파요.
난 오늘 야구 보러 갈 거야.,난 오늘 야구 보러 갈 거야,난 오늘 야구 보러 갈 거야?,난 오늘 야구 보러 갈꺼야,나 오늘 야구보어러가 알였거야,난 오늘 야구 보러 갈 거야.,난 오늘 야구 보러 갈 거야.,난 오늘 야구 보러 갈 거야., 난 오늘 야고 보러 갈 거야.,난 오늘 야구 보러 갈 거야., 난 오늘 야구 보러 갈거야, 난 오늘 야구 보러 갈 거야, 난 오늘 야구 보러 갈 거야.,난 오늘 야구 보러 갈 거야.,난 오늘 야구 보러 갈 거야.
배보다 배꼽이 더 크다.,배보다 배꼽이 더 크다.,배보다 배꼽이 더 크다.,배보다 배꼽이 더 크다.,배보다 1꽃이더크다,배보다 배이 더 크다.,배보다 배꼽이 더 크다.,배보다 배꼽이 더 크다., 배보다 배꼽이 더 크다.,배보다 배꼽이 더 크다., 배보다 몇 꼬비 더 크다, 배보다 배꼽이 더 크다, 배보다 배꼽이 더 크다.,배보다 배꼽이 더 크다.,배보다 배꼽이 더 크다.
날씨가 너무 더운데 시원한 커피 마시러 갈래?,날씨가 너무 더운데 시원한 커피 마시러 갈래?,날씨가 너무 더운데 시원한 커피 마시러 갈래?,날씨가 너무 더운데 시원한 커피 마시러 갈래?,나시가 넘무 더운데 시원한 커이 마시로 갈례,날씨가 너무 뜨거운데 시원한 커피 맛으로 갈래?,날씨가 너무 더운데 시원한 커피 마시러 갈래?,날씨가 너무 더운데 시원한 커피 마시러 갈래?, 날씨가 너무 더운데 시원한 커피 맛으로 갈래?,날씨가 너무 더운데 시원한 커피 마시러 갈래?, 날씨가 너무 더운데 시원한 커피 마시러 갈래?, 날씨가 너무 더운데 시원한 커피 마시러 갈래?, 날씨가 너무 더운데 시원한 커피 마시러 갈래?,날씨가 너무 더운데 시원한 커피 마시러 갈래.,날씨가 너무 더운데 시원한 커피 마시러 갈래?
도넛 좀 사다 줄래요?,도너츠 좀 사다 줄래요?,도너츠 좀 사다 줄래요?,도넛츠 좀 사다 줄래요?,도너츠좀 사아 줄레여,도 좀 사다줄래요?,도너츠 좀 사다 줄래요?,도너츠 좀 사다 줄래요?, 도너츠 좀 사다 줄래요.,도넛 좀 사다 줄래요?, 도넛을 좀 사다줄래요, 도너츠 좀 사다 줄래요?, 도넛 좀 사다 줄래요?,도너츠 좀 사다 줄래요?,도너츠 좀 사다 줄래여
주말엔 밥만 먹고 드러누워있는 게 남편들이야.,주말엔 밥만 먹고 들어 누워 있는 게 남편 들이야.,주말엔 밥만 먹고 드러누워 있는 게 남편들이야.,주말엔 밥만 먹고 들어누워 있는 게 남편들이야.,주말은 반만 먹고 들어누어 있는게 남편들이야,주말엔 만 먹고 들어 누워 있는 게 남편들이야.,주말엔 밥만 먹고 드러누워 있는게 남편들이.,주말엔 밥만 먹고 드러누워 있는게 남편들이., 주말엔 밥만 먹고 들어누어 있는 게 남편들이야.,주말엔 밥만 먹고 드러누워 있는게 남편들이야., 주말엔 밥만 먹고 드러누워 있는 게 남편들이야., 주말엔 밥만 먹고 들어주고 있는 게 남편들이야., 주말엔 밥만 먹고 드러누워 있는 게 남편들이야,주말엔 밥만 먹고 들어누워 있는 게 남편들이야.,주말엔 밥만 먹고 드러누워 있는게 남편들이야
어제 젤리 대용량으로 충동구매했어.,어제 젤리 대용량으로 충동 구매 했어,어제 젤리 대용량으로 충동구매했어.,어제 젤리 대용량으로 충동구매했어.,어제 체리 대용양으로 충동구매했서,어제 리 대용량으로 충동 구매했어!,어제 젤리 대용량으로 충동구매!,어제 젤리 대용량으로 충동구매!, 어제 젤리 대용량으로 충동 구매했어.,어제 젤리 대용량으로 충동 구매했어., 어제 첸리 대용량으로 충동금에 있어., 어제 젤리 대용량으로 충동구매했어, 어제 젤리 대용량으로 충동 구매했어.,어제 챌리이 대용량으로 충동 구매했어.,어제 첼리 대용량으로 충동 구매했어.
3년 전만 해도 젊었었네.,삼 년 전만 해도 젊어 썼네,3년 전만 해도 젊었었네.,3년 전만 해도 젊었었네,3년점만에도 절못썼내,3년 전만 해도 젊었네?,3년 전만 해도 젊었을.,3년 전만 해도 젊었을., 3년 전만 해도 젊었었네.,3년 전만 해도 젊었었네., 3년 전만 해도 젊었었네, 3년 전만 해도 젊었었네?, 삼 년 전만 해도 젊었었네,삼 년 전만 해도 젊었었네.,삼년 전만 해도 젊었었네.
지금 약간 화나려고 해.,지금 약간 화 나려고 해,지금 약간 화나려고 해.,지금 약간 화나려고 해,지금 약간 환나려고해,지금 약간 화나려고 해.,지금 약간 화나려고 해.,지금 약간 화나려고 해., 지금 약간 화나려고 해.,지금 약간 화나려고 해., 지금 약간 화나려고 해, 지금 약간 화나려고 해, 지금 약간 화나려고 해.,지금 약간 화나려고 해.,지금 약간 화나려고 해.
우리 친구들 다 같이 사진 찍는 거 어때?,우리 친구들 다 같이 사진 찍는 거 어때?,우리 친구들 다 같이 사진 찍는 거 어때?,우리 친구들 다 같이 사진 찍는 거 어때?,우리 친고들 다같이 사신찍는과 었때,우리 친구들 다 같이 사진 찍는 거 어때?,우리 친구들 다 같이 사진 찍는 거 어때?,우리 친구들 다 같이 사진 찍는 거 어때?, 우리 친구들 다 같이 사진 찍는 거 어때?,우리 친구들 다 같이 사진 찍는 거 어때?, 우리 친구들 다 같이 사진 찍는 거 어때?, 우리 친구들 다 같이 사진 찍는 거 어때?, 우리 친구들 다 같이 사진 찍는 거 어때?,우리 친구들 다 같이 사진 찍는 거 어때?,우리 친구들 다 같이 사진 찍는 거 어때?
